"","document","topic","gamma"
"1","ekmteataja19170608.1.4",1,8.40592575353881e-05
"2","tooljasojavnoukteat19170505.1.2",1,0.000177621677470804
"3","svobodnojeslovosoldata19170519.1.4",1,0.00020350929564961
"4","tooljasojavnoukteat19170730.1.3",1,0.28319966850322
"5","tooljasojavnoukteat19171104.1.3",1,0.000184465680939284
"6","ekmteataja19171026.1.4",1,0.000181469004011932
"7","revelskojeslovo19170303.1.3",1,0.000103537243354216
"8","tooljasojavnoukteat19170428.1.4",1,0.000170396520117556
"9","tooljasojavnoukteat19171124.1.3",1,0.000266665557832331
"10","revelskieizvestija19170103.1.3",1,0.0494529194994133
"11","revelskojeslovo19170118.1.2",1,0.0188809033004234
"12","svobodnojeslovosoldata19170427.1.4",1,0.188802782858393
"13","tooljasojavnoukteat19170809.1.2",1,0.000172147137175965
"14","ekmteataja19170105.1.3",1,0.000129554619212468
"15","revelskojeslovo19170216.1.2",1,8.51268929484651e-05
"16","revelskojeslovo19170715.1.4",1,0.000373724045064724
"17","tooljasojavnoukteat19170726.1.3",1,0.137670008400383
"18","svobodnojeslovosoldata19170509.1.4",1,0.514217830528509
"19","ekmteataja19170622.1.3",1,0.000115689911479265
"20","tooljasojavnoukteat19171001.1.4",1,0.000178568133759924
"21","tooljasojavnoukteat19170505.1.3",1,0.000153957309376724
"22","ekmteataja19170119.1.5",1,0.000142804321778766
"23","tooljasojavnoukteat19170723.1.3",1,0.0912567215489463
"24","tooljasojavnoukteat19171004.1.3",1,0.000106838074311414
"25","svobodnojeslovosoldata19170518.1.3",1,0.000448798944913756
"26","revelskieizvestija19170327.1.2",1,0.000166171887831643
"27","tooljasojavnoukteat19171004.1.2",1,0.0575390701897804
"28","tooljasojavnoukteat19170719.1.3",1,0.0779295549619839
"29","revelskieizvestija19170422.1.2",1,0.000198683090446345
"30","ekmteataja19170907.1.3",1,0.000169534495963398
"31","revelskieizvestija19170221.1.3",1,0.829273318203193
"32","revelskojeslovo19170308.1.3",1,0.000206011404179667
"33","revelskojeslovo19170118.1.4",1,0.000386660113487008
"34","ekmteataja19170615.1.1",1,0.000184465680939219
"35","utropravda19170818.1.4",1,0.114137548178112
"36","tooljasojavnoukteat19170815.1.1",1,0.53324989745569
"37","ekmteataja19170209.1.1",1,0.000213901022763304
"38","tooljasojavnoukteat19170707.1.2",1,0.000270978083806481
"39","nasheslovo19171208.1.3",1,0.00018756299052772
"40","utropravda19171006.1.3",1,0.000211204852078972
"41","ekmteataja19171026.1.2",1,0.000320166694311406
"42","ekmteataja19170413.1.3",1,0.000192962965565403
"43","utropravda19171128.1.4",1,0.191591113504877
"44","ekmteataja19170119.1.6",1,0.000139244156067963
"45","svobodnojeslovosoldata19171123.1.3",1,0.000300097185276763
"46","revelskojeslovo19171004.1.4",1,0.000361625531523166
"47","tooljasojavnoukteat19170801.1.3",1,0.212646509539137
"48","utropravda19170609.1.3",1,0.489385428570225
"49","tooljasojavnoukteat19170704.1.2",1,0.000275432387294088
"50","revelskojeslovo19170228.1.2",1,0.000218076867576333
"51","ekmteataja19170126.1.3",1,0.000145913220927384
"52","tooljasojavnoukteat19170924.1.4",1,0.000230053335513612
"53","tooljasojavnoukteat19171102.1.4",1,0.000247010137394607
"54","tooljasojavnoukteat19171110.1.4",1,0.000250705950915795
"55","ekmteataja19170629.1.4",1,0.000128560607621651
"56","revelskieizvestija19170217.1.2",1,0.000179524730457845
"57","revelskojeslovo19170829.1.4",1,0.000369602251063529
"58","revelskojeslovo19171005.1.4",1,0.000442867961294464
"59","tooljasojavnoukteat19170913.1.3",1,0.000177621677470994
"60","tooljasojavnoukteat19171024.1.3",1,0.00018651906142674
"61","tooljasojavnoukteat19171101.1.4",1,0.000495223971405847
"62","revelskojeslovo19170901.1.2",1,0.000266665557832578
"63","revelskojeslovo19171030.1.4",1,0.000420632909927198
"64","tooljasojavnoukteat19170514.1.4",1,0.617493985055551
"65","tooljasojavnoukteat19170902.1.2",1,0.000216666920390305
"66","tooljasojavnoukteat19171106.1.4",1,0.000226937564348473
"67","ekmteataja19170629.1.3",1,0.000187562990527747
"68","revelskojeslovo19170302.1.1",1,0.000365570383609595
"69","tooljasojavnoukteat19170429.1.2",1,0.107520383791375
"70","ekmteataja19170608.1.3",1,0.000215275087741016
"71","revelskojeslovo19171003.1.4",1,0.000202280895802238
"72","tooljasojavnoukteat19170411.1.3",1,0.0906500732206552
"73","tooljasojavnoukteat19170526.1.4",1,0.563030470715693
"74","utropravda19170706.1.4",1,0.407110389533725
"75","ekmteataja19170831.1.3",1,0.000191858238353559
"76","tooljasojavnoukteat19170906.1.3",1,0.304714527001481
"77","tooljasojavnoukteat19170429.1.3",1,0.287437222534378
"78","tooljasojavnoukteat19170720.1.4",1,0.000174841563893448
"79","ekmteataja19170914.1.1",1,0.00015610885088224
"80","tooljasojavnoukteat19170913.1.4",1,0.000197512094918626
"81","revelskieizvestija19170408.1.2",1,0.000225411115163576
"82","ekmteataja19170216.1.4",1,0.000311245936853888
"83","tooljasojavnoukteat19171216.1.3",1,0.155330659563616
"84","tooljasojavnoukteat19170728.1.2",1,0.000248844322439185
"85","revelskieizvestija19170306.1.1",1,0.000156839457315814
"86","svobodnojeslovosoldata19170420.1.3",1,0.000317136828013091
"87","ekmteataja19170119.1.4",1,0.000197512094918681
"88","tooljasojavnoukteat19170921.1.2",1,0.0390451235240922
"89","utropravda19170706.1.3",1,0.000168681149748874
"90","svobodnojeslovosoldata19170507.1.3",1,0.496894654216174
"91","utropravda19170801.1.4",1,0.221224722729169
"92","tooljasojavnoukteat19170705.1.2",1,0.000317136828013223
"93","tooljasojavnoukteat19170831.1.4",1,0.000204752706165353
"94","tooljasojavnoukteat19171118.1.4",1,0.000543405134661539
"95","tooljasojavnoukteat19170314.1.2",1,0.000124270013764921
"96","tooljasojavnoukteat19170503.1.4",1,0.75258845251783
"97","tooljasojavnoukteat19171114.1.4",1,0.000373724045064783
"98","tooljasojavnoukteat19171205.1.2",1,0.000245202793381439
"99","revelskojeslovo19170304.1.2",1,0.000190766088425558
"100","tooljasojavnoukteat19171204.1.3",1,0.582439951275287
"101","utropravda19171202.1.4",1,0.299147968408461
"102","revelskieizvestija19170401.1.4",1,8.780334663119e-05
"103","ekmteataja19170126.1.8",1,0.000213901022763386
"104","ekmteataja19170209.1.6",1,0.00030838180458359
"105","tooljasojavnoukteat19170825.1.2",1,0.000204752706165356
"106","svobodnojeslovosoldata19171220.1.4",1,0.000258439597552121
"107","revelskojeslovo19170307.1.3",1,0.000164540113950041
"108","tooljasojavnoukteat19170331.1.1",1,0.32560327177524
"109","utropravda19170829.1.3",1,0.809745370978076
"110","ekmteataja19170119.1.10",1,0.000216666920389995
"111","revelskojeslovo19171013.1.2",1,0.000177621677470828
"112","svobodnojeslovosoldata19171214.1.4",1,0.000264560362792148
"113","tooljasojavnoukteat19170818.1.3",1,0.000177621677470906
"114","tooljasojavnoukteat19170620.1.1",1,0.358108114125335
"115","revelskojeslovo19170220.1.4",1,0.000488012346948747
"116","tooljasojavnoukteat19170623.1.2",1,0.000228484828242433
"117","tooljasojavnoukteat19170715.1.2",1,0.0509388907557949
"118","ekmteataja19170706.1.2",1,9.89514886174156e-05
"119","ekmteataja19170105.1.2",1,0.00025451403927056
"120","revelskojeslovo19170124.1.2",1,0.409668601832813
"121","utropravda19171216.1.4",1,0.000297433685232321
"122","tooljasojavnoukteat19170901.1.4",1,0.000195211031010857
"123","tooljasojavnoukteat19171120.1.4",1,0.000467584941210307
"124","ekmteataja19170720.1.4",1,0.000289719505098665
"125","tooljasojavnoukteat19171008.1.2",1,0.0610102879456036
